boundary_id	source_model_id	operation	boundary_kind	production_constant	numeric_domain	formula	execution_class	expected_status	expected_value	expected_error_code	coverage
address-bytes-maximum	model-boundary-address-bytes-maximum	decode	address-length	max-destination-address-bytes	u64	256	deterministic-generated	ok	256	0	maximum
address-bytes-minimum	model-boundary-address-bytes-minimum	decode	address-length	max-destination-address-bytes	u64	1	deterministic-generated	ok	1	0	minimum
address-bytes-plus-one	model-boundary-address-bytes-plus-one	decode	address-length	max-destination-address-bytes	u64	256+1	deterministic-generated	error	257	4	plus-one
aggregate-in-range-overcount	model-boundary-aggregate-in-range-overcount	decode	aggregate-equality	max-previous-transaction-entries	u32	0+1	concrete-frame	error	1	3	overcount
aggregate-in-range-undercount	model-boundary-aggregate-in-range-undercount	decode	aggregate-equality	max-previous-transaction-entries	u32	3	concrete-frame	error	3	3	undercount
aggregate-previous-entries-maximum	model-boundary-aggregate-previous-entries-maximum	decode	aggregate-previous-count	max-previous-transaction-entries	u64	16384	deterministic-generated	ok	16384	0	maximum
aggregate-previous-entries-minimum	model-boundary-aggregate-previous-entries-minimum	decode	aggregate-previous-count	max-previous-transaction-entries	u64	0	deterministic-generated	ok	0	0	minimum
aggregate-previous-entries-plus-one	model-boundary-aggregate-previous-entries-plus-one	decode	aggregate-previous-count	max-previous-transaction-entries	u64	16384+1	deterministic-generated	error	16385	4	plus-one
candidate-transaction-bytes-maximum	model-boundary-candidate-transaction-bytes-maximum	decode	candidate-transaction-length	max-transaction-payload-bytes	u64	4194304	deterministic-generated	ok	4194304	0	maximum
candidate-transaction-bytes-minimum	model-boundary-candidate-transaction-bytes-minimum	decode	candidate-transaction-length	max-transaction-payload-bytes	u64	1	deterministic-generated	ok	1	0	minimum
candidate-transaction-bytes-plus-one	model-boundary-candidate-transaction-bytes-plus-one	decode	candidate-transaction-length	max-transaction-payload-bytes	u64	4194304+1	deterministic-generated	error	4194305	4	plus-one
checked-add-overflow	model-boundary-checked-add-overflow	checked-arithmetic	overflow	none	u64	18446744073709551615+1	symbolic-only	overflow	-	4	addition
checked-multiply-overflow	model-boundary-checked-multiply-overflow	checked-arithmetic	overflow	none	u64	18446744073709551615*2	symbolic-only	overflow	-	4	multiplication
