case_id	partition	operation	implementation	execution_class	frame_id	source_model_id	expected_source_epoch_hex	catalog_fixture_id	expected_result	expected_error_code	expected_reencode_frame_id	combined_precedence	coverage_tags	input_identity_sha256	expected_output_sha256	case_binding_sha256
decode-address-length-plus-one	native-decoder	decode	native	concrete-frame	frame-address-length-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	27de77830d35cd7fd9cbb049995c3074d605729ef9236162d6bfac5681498a3b	-	b5cfe7ce1fee73cbdb566604531511254eb0ee62fb546cd55d977b897604fa92
decode-address-length-zero	native-decoder	decode	native	concrete-frame	frame-address-length-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	2f05c2831c370438283265496de8b843ec051262ea02383e44c2c0ef00caa218	-	d5940609da877e618a3b70407fd180c1a42007d6f052025c6d75673070eb0d5a
decode-address-non-ascii	native-decoder	decode	native	concrete-frame	frame-address-non-ascii	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	2714d0a62e7006bca6b59df554accadd5fb48fddbbb1730618b0b3c72ceb9c0b	-	150aaa18dbe67a94f6c57fdea0a8ce0aa0933aa370efb8f5f47f713be76161fa
decode-aggregate-count-plus-one	native-decoder	decode	native	concrete-frame	frame-aggregate-count-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	e4f65bf4f45924ae6556507992617c4dc808382cfed7372ca7d190e8adc37c25	-	def9a33533991aa727adf031fb2e3ffc091d2c5619121fdd47ad53f733dd22ea
decode-aggregate-in-range-over	native-decoder	decode	native	concrete-frame	frame-aggregate-in-range-over	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	ec78305ff28fe9182949c2a176ffe74093ce7d4860ea9c4a34071a07f77e212c	-	f045ce56a48f9aefe257fe87cb433c72a1e378c0cfffa21da95fa5940da093d8
decode-aggregate-in-range-under	native-decoder	decode	native	concrete-frame	frame-aggregate-in-range-under	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	241d42013e788399e9c8c60233139d55ea04042bfda222b054e2e5c91d149521	-	a9bcfccab53871770523b6f520adf11250005a2590b8cef089f2b132f4731a11
decode-amount-proof-failure	native-decoder	decode	native	concrete-frame	frame-amount-proof-failure	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	29aa6f20a90323802fbce3fc841258cabed385c5a27eda35d676a9021f15bcb1	-	67f2ccc43c00406fe97abfa74e0da9fcef7209934039588ff5c241da05ba4f1a
decode-candidate-id-mismatch	native-decoder	decode	native	concrete-frame	frame-candidate-id-mismatch	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	9db43877cd3cae4b5d8617b98b69be94a633252d9d4cfc1cb029d56cc1475bfb	-	b5ead204e7008c64d5e26261c5be0d741d4c727da49aeb3b561478d143f7d760
decode-candidate-length-plus-one	native-decoder	decode	native	concrete-frame	frame-candidate-length-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	fe3487a9316c8b6c3b505f5588b0e7ba0a8cc10574e7399ab39420e9c575d36a	-	29ad0dd9d2f19efae285d454752c148f93b8009434d23c3fdb02e7a13129a2b1
decode-candidate-length-zero	native-decoder	decode	native	concrete-frame	frame-candidate-length-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	69d7e50542bdff5f4303de8e8010dd6ae53571bbaeba631788a8e4760bfb9c1d	-	fc02daafbe12d956afd825a8eab6ef6f5f56a789f84f65ea79b88209d1d67c85
