fixture_id	fixture_kind	network	relative_path	decoded_length	decoded_sha256	txid_consensus_hex	txid_display_hex	public_property
main-candidate-valid	candidate	mainnet	public/main-candidate-valid.hex	4469	f291d881656e2de6936ebe0b1cac2040da2aa088120b5ad700498fbb024fe34b	60fa18f40da2d6fb6bfb7aec220767ff0182e17d7634c99889b5e32fd314804c	4c8014d32fe3b58998c934767de18201ff670722ec7afb6bfbd6a20df418fa60	canonical-confidential-owned-output
main-previous-valid	previous	mainnet	public/main-previous-valid.hex	56	cdf49000ca25b1a40510b3794436b1cf0d7719049811195c80908dfb90a596c4	1ff52e33156d7bea012c8c4454f39c06d82d0f01aa0b5991e8560799fcbf98dc	dc98bffc990756e891590baa010f2dd8069cf354448c2c01ea7b6d15332ef51f	canonical-direct-previous
test-candidate-damaged-proof	candidate	test	public/test-candidate-damaged-proof.hex	293	9f7e91ec80d8ad974815799d56368e59bd824a5544d5076d7f0f774a1024c26d	c04f8699c87fdbe9386b8b39e64c629ecadd0392d476668fb6b2dfb9c2e61dc7	c71de6c2b9dfb2b68f6676d49203ddca9e624ce6398b6b38e9db7fc899864fc0	empty-amount-proof
test-candidate-explicit	candidate	test	public/test-candidate-explicit.hex	162	5004e84efc55b2b3e8e25f78e9e437982321733419eed90bc6724dd268852160	9f18e8f28190f30123ef3736ac2bf79d0908ae5b57908f12a54693086a2a7f9e	9e7f2a6a089346a5128f90575bae08099df72bac3637ef2301f39081f2e8189f	explicit-selected-output
test-candidate-shared-previous-valid	candidate	test	public/test-candidate-shared-previous-valid.hex	4546	63cb436487c562edd2084af3d1fa4093c169606740639534405707daab216adf	bd12a32101979396a037fe09e180c9fbb3302145a22fef57c60f528e00ac1681	8116ac008e520fc657ef2fa2452130b3fbc980e109fe37a09693970121a312bd	two-inputs-one-previous-transaction
test-candidate-unowned	candidate	test	public/test-candidate-unowned.hex	4469	4703f1c23c4ca005f2b765de08afdbd7a9e4000d9c769bc429926567ad1b6252	b929d20ce49c5c0edce9f0432ef75707f4f1a6ca67fb57ecf1bcb749bda500a4	a400a5bd49b7bcf1ec57fb67caa6f1f40757f72e43f0e9dc0e5c9ce40cd229b9	confidential-unowned-output
test-candidate-valid	candidate	test	public/test-candidate-valid.hex	4469	c6c96d3455902b91dbe2dbfe0029946a7a80ca45148b29564026df849416ab6b	c04f8699c87fdbe9386b8b39e64c629ecadd0392d476668fb6b2dfb9c2e61dc7	c71de6c2b9dfb2b68f6676d49203ddca9e624ce6398b6b38e9db7fc899864fc0	canonical-confidential-owned-output
test-previous-shared-valid	previous	test	public/test-previous-shared-valid.hex	101	4c51a49ec419b32695a7334dd1e523592d577ecfd013a3a67427660d629ed84a	2f3383531fb52dea5495f7e96aed8cef2d10e6ee25fcd8b7e381d78cdc07963e	3e9607dc8cd781e3b7d8fc25eee6102def8ced6ae9f79554ea2db51f5383332f	two-distinct-spendable-outputs
test-previous-unrelated	previous	test	public/test-previous-unrelated.hex	56	6ae4041c8395b5ed17e54af5b7b7219f3a4358afe89fb53832b0c1c2f568c049	80d54c82ed5b9c187e405b0491cdbe65e338aec2611a4b887e56781b409a6aef	ef6a9a401b78567e884b1a61c2ae38e365becd91045b407e189c5bed824cd580	unrelated-previous
test-previous-valid	previous	test	public/test-previous-valid.hex	56	4850b5ae65f9edd5a054e8dc6ba1e405bb5bee67905cbc6af2e4ec6f2cc96cb2	e1cabb3bf384e4e40ef87a78f9eb329f65ae97b955da7dbcbf162293d21e251c	1c251ed2932216bfbc7dda55b997ae659f32ebf9787af80ee4e484f33bbbcae1	canonical-direct-previous
test-previous-witness-variant	previous	test	public/test-previous-witness-variant.hex	4234	34542b9dc38dec2c66c54f8169842116f226d7aafa28d80ae6711941a262ef0b	e1cabb3bf384e4e40ef87a78f9eb329f65ae97b955da7dbcbf162293d21e251c	1c251ed2932216bfbc7dda55b997ae659f32ebf9787af80ee4e484f33bbbcae1	same-identity-distinct-witness
