assertion_id	fixture_id	predicate	subject_index	expected_value	related_fixture_id
assertion-main-candidate-valid-flags-0	main-candidate-valid	flags	0	1	-
assertion-main-candidate-valid-input-count-0	main-candidate-valid	input-count	0	1	-
assertion-main-candidate-valid-input-previous-txid-0	main-candidate-valid	input-previous-txid	0	1ff52e33156d7bea012c8c4454f39c06d82d0f01aa0b5991e8560799fcbf98dc	-
assertion-main-candidate-valid-input-previous-vout-0	main-candidate-valid	input-previous-vout	0	0	-
assertion-main-candidate-valid-input-witness-vector-lengths-0	main-candidate-valid	input-witness-vector-lengths	0	0,0	-
assertion-main-candidate-valid-output-count-0	main-candidate-valid	output-count	0	2	-
assertion-main-candidate-valid-output-prefixes-0	main-candidate-valid	output-prefixes	0	0a,08,02	-
assertion-main-candidate-valid-output-script-sha256-0	main-candidate-valid	output-script-sha256	0	b29260f831b9fb678f1d429471d4fa37bdae7498a8ab04dc26fb0e6d116cc99a	-
assertion-main-candidate-valid-output-witness-vector-lengths-0	main-candidate-valid	output-witness-vector-lengths	0	67,4174	-
assertion-main-previous-valid-flags-0	main-previous-valid	flags	0	0	-
assertion-main-previous-valid-input-count-0	main-previous-valid	input-count	0	0	-
assertion-main-previous-valid-output-count-0	main-previous-valid	output-count	0	1	-
assertion-main-previous-valid-output-prefixes-0	main-previous-valid	output-prefixes	0	01,01,00	-
assertion-main-previous-valid-output-script-sha256-0	main-previous-valid	output-script-sha256	0	4ae81572f06e1b88fd5ced7a1a000945432e83e1551e6f721ee9c00b8cc33260	-
assertion-test-candidate-damaged-proof-different-full-sha256-0	test-candidate-damaged-proof	different-full-sha256	0	true	test-candidate-valid
assertion-test-candidate-damaged-proof-flags-0	test-candidate-damaged-proof	flags	0	1	-
assertion-test-candidate-damaged-proof-input-count-0	test-candidate-damaged-proof	input-count	0	1	-
assertion-test-candidate-damaged-proof-input-previous-txid-0	test-candidate-damaged-proof	input-previous-txid	0	e1cabb3bf384e4e40ef87a78f9eb329f65ae97b955da7dbcbf162293d21e251c	-
assertion-test-candidate-damaged-proof-input-previous-vout-0	test-candidate-damaged-proof	input-previous-vout	0	0	-
assertion-test-candidate-damaged-proof-input-witness-vector-lengths-0	test-candidate-damaged-proof	input-witness-vector-lengths	0	0,0	-
assertion-test-candidate-damaged-proof-output-count-0	test-candidate-damaged-proof	output-count	0	2	-
assertion-test-candidate-damaged-proof-output-prefixes-0	test-candidate-damaged-proof	output-prefixes	0	0a,08,02	-
assertion-test-candidate-damaged-proof-output-script-sha256-0	test-candidate-damaged-proof	output-script-sha256	0	e0ad850821f9c4a6c60e064323c656b1323a2d3e79dec545da63fe64fb1afafe	-
