binding_id	frame_id	selected_index	payload_role	previous_index	fixture_id	transform
binding-amount-proof-failure-candidate-0	frame-amount-proof-failure	0	candidate	-	test-candidate-damaged-proof	identity
binding-amount-proof-failure-previous-0-0-test-previous-valid	frame-amount-proof-failure	0	previous	0	test-previous-valid	identity
binding-candidate-id-mismatch-candidate-0	frame-candidate-id-mismatch	0	candidate	-	test-candidate-valid	identity
binding-candidate-id-mismatch-previous-0-0-test-previous-valid	frame-candidate-id-mismatch	0	previous	0	test-previous-valid	identity
binding-candidate-noncanonical-candidate-0-append-zero	frame-candidate-noncanonical	0	candidate	-	test-candidate-valid	append-zero
binding-candidate-noncanonical-previous-0-0-test-previous-valid	frame-candidate-noncanonical	0	previous	0	test-previous-valid	identity
binding-combined-context-plan-funding-candidate-0-append-zero	frame-combined-context-plan-funding	0	candidate	-	test-candidate-valid	append-zero
binding-combined-context-plan-funding-previous-0-0-test-previous-valid	frame-combined-context-plan-funding	0	previous	0	test-previous-valid	identity
binding-combined-plan-funding-candidate-0-append-zero	frame-combined-plan-funding	0	candidate	-	test-candidate-valid	append-zero
binding-combined-plan-funding-previous-0-0-test-previous-valid	frame-combined-plan-funding	0	previous	0	test-previous-valid	identity
binding-combined-structural-context-candidate-0	frame-combined-structural-context	0	candidate	-	test-candidate-valid	identity
binding-conservation-asset-mismatch-candidate-0	frame-conservation-asset-mismatch	0	candidate	-	test-candidate-valid	identity
binding-conservation-asset-mismatch-previous-0-0-test-previous-valid	frame-conservation-asset-mismatch	0	previous	0	test-previous-valid	identity
binding-conservation-value-mismatch-candidate-0	frame-conservation-value-mismatch	0	candidate	-	test-candidate-valid	identity
binding-conservation-value-mismatch-previous-0-0-test-previous-valid	frame-conservation-value-mismatch	0	previous	0	test-previous-valid	identity
binding-descriptor-nonownership-candidate-0	frame-descriptor-nonownership	0	candidate	-	test-candidate-unowned	identity
binding-descriptor-nonownership-previous-0-0-test-previous-valid	frame-descriptor-nonownership	0	previous	0	test-previous-valid	identity
binding-duplicate-previous-identity-candidate-0	frame-duplicate-previous-identity	0	candidate	-	test-candidate-valid	identity
binding-duplicate-previous-identity-previous-0-0-test-previous-valid	frame-duplicate-previous-identity	0	previous	0	test-previous-valid	identity
binding-duplicate-previous-identity-previous-0-1-test-previous-witness-variant	frame-duplicate-previous-identity	0	previous	1	test-previous-witness-variant	identity
binding-extra-previous-candidate-0	frame-extra-previous	0	candidate	-	test-candidate-valid	identity
binding-extra-previous-previous-0-0-test-previous-unrelated	frame-extra-previous	0	previous	0	test-previous-unrelated	identity
binding-extra-previous-previous-0-1-test-previous-valid	frame-extra-previous	0	previous	1	test-previous-valid	identity
binding-main-public-valid-candidate-0	frame-main-public-valid	0	candidate	-	main-candidate-valid	identity
binding-main-public-valid-previous-0-0-main-previous-valid	frame-main-public-valid	0	previous	0	main-previous-valid	identity
binding-main-wrong-pegged-asset-candidate-0	frame-main-wrong-pegged-asset	0	candidate	-	main-candidate-valid	identity
binding-main-wrong-pegged-asset-previous-0-0-main-previous-valid	frame-main-wrong-pegged-asset	0	previous	0	main-previous-valid	identity
binding-main-wrong-profile-address-candidate-0	frame-main-wrong-profile-address	0	candidate	-	main-candidate-valid	identity
binding-main-wrong-profile-address-previous-0-0-main-previous-valid	frame-main-wrong-profile-address	0	previous	0	main-previous-valid	identity
binding-malformed-address-candidate-0	frame-malformed-address	0	candidate	-	test-candidate-valid	identity
binding-malformed-address-previous-0-0-test-previous-valid	frame-malformed-address	0	previous	0	test-previous-valid	identity
binding-missing-previous-candidate-0	frame-missing-previous	0	candidate	-	test-candidate-valid	identity
binding-noncanonical-address-candidate-0	frame-noncanonical-address	0	candidate	-	test-candidate-valid	identity
binding-noncanonical-address-previous-0-0-test-previous-valid	frame-noncanonical-address	0	previous	0	test-previous-valid	identity
binding-nonconfidential-address-candidate-0	frame-nonconfidential-address	0	candidate	-	test-candidate-valid	identity
binding-nonconfidential-address-previous-0-0-test-previous-valid	frame-nonconfidential-address	0	previous	0	test-previous-valid	identity
binding-output-index-mismatch-candidate-0	frame-output-index-mismatch	0	candidate	-	test-candidate-valid	identity
binding-output-index-mismatch-previous-0-0-test-previous-valid	frame-output-index-mismatch	0	previous	0	test-previous-valid	identity
binding-public-output-shape-candidate-0	frame-public-output-shape	0	candidate	-	test-candidate-explicit	identity
binding-public-output-shape-previous-0-0-test-previous-valid	frame-public-output-shape	0	previous	0	test-previous-valid	identity
binding-test-public-valid-candidate-0	frame-test-public-valid	0	candidate	-	test-candidate-valid	identity
binding-test-public-valid-previous-0-0-test-previous-valid	frame-test-public-valid	0	previous	0	test-previous-valid	identity
binding-test-shared-previous-valid-candidate-0	frame-test-shared-previous-valid	0	candidate	-	test-candidate-shared-previous-valid	identity
binding-test-shared-previous-valid-previous-0-0-test-previous-shared-valid	frame-test-shared-previous-valid	0	previous	0	test-previous-shared-valid	identity
binding-unknown-manifest-candidate-0	frame-unknown-manifest	0	candidate	-	test-candidate-valid	identity
binding-unknown-manifest-previous-0-0-test-previous-valid	frame-unknown-manifest	0	previous	0	test-previous-valid	identity
binding-wrong-pegged-asset-candidate-0	frame-wrong-pegged-asset	0	candidate	-	test-candidate-valid	identity
binding-wrong-pegged-asset-previous-0-0-test-previous-valid	frame-wrong-pegged-asset	0	previous	0	test-previous-valid	identity
binding-wrong-profile-address-candidate-0	frame-wrong-profile-address	0	candidate	-	test-candidate-valid	identity
binding-wrong-profile-address-previous-0-0-test-previous-valid	frame-wrong-profile-address	0	previous	0	test-previous-valid	identity
