mutation_id	parent_frame_id	child_frame_id	mutation_kind	target	offset	old_hex	new_hex
mutation-frame-address-length-plus-one	frame-test-toy-single	frame-address-length-plus-one	replace	bytes	281	66000000	01010000
mutation-frame-address-length-zero	frame-test-toy-single	frame-address-length-zero	replace	bytes	281	66000000	00000000
mutation-frame-address-non-ascii	frame-test-toy-single	frame-address-non-ascii	replace	bytes	289	74	80
mutation-frame-aggregate-count-plus-one	frame-test-toy-single	frame-aggregate-count-plus-one	replace	bytes	136	00000000	01400000
mutation-frame-aggregate-in-range-over	frame-test-toy-single	frame-aggregate-in-range-over	replace	bytes	136	00000000	01000000
mutation-frame-aggregate-in-range-under	frame-test-toy-ordered	frame-aggregate-in-range-under	replace	bytes	136	04000000	03000000
mutation-frame-amount-proof-failure	frame-test-public-valid	frame-amount-proof-failure	logical-repack	selected.0.candidate-and-txid	-	-	-
mutation-frame-candidate-id-mismatch	frame-test-public-valid	frame-candidate-id-mismatch	logical-repack	selected.0.txid	-	-	-
mutation-frame-candidate-length-plus-one	frame-test-toy-single	frame-candidate-length-plus-one	replace	bytes	228	01000000	01004000
mutation-frame-candidate-length-zero	frame-test-toy-single	frame-candidate-length-zero	replace	bytes	228	01000000	00000000
mutation-frame-candidate-noncanonical	frame-test-public-valid	frame-candidate-noncanonical	logical-repack	selected.0.candidate	-	-	-
mutation-frame-combined-body-limit	frame-test-toy-single	frame-combined-body-limit	logical-repack	selected.0.value	-	-	-
mutation-frame-combined-context-plan-funding	frame-combined-plan-funding	frame-combined-context-plan-funding	logical-repack	header.manifest	-	-	-
mutation-frame-combined-non-ascii-value	frame-address-non-ascii	frame-combined-non-ascii-value	replace	bytes	273	0900000000000000	0000000000000000
mutation-frame-combined-numeric-structural	frame-selected-reserved	frame-combined-numeric-structural	replace	bytes	220	0a00000000000000	0000000000000000
mutation-frame-combined-plan-funding	frame-candidate-noncanonical	frame-combined-plan-funding	logical-repack	destination.0.address	-	-	-
mutation-frame-combined-previous-order-value	frame-previous-out-of-order	frame-combined-previous-order-value	replace	bytes	532	0500000000000000	0000000000000000
mutation-frame-combined-selected-order-value	frame-selected-out-of-order	frame-combined-selected-order-value	replace	bytes	532	0500000000000000	0000000000000000
mutation-frame-combined-short-zero-expected	frame-short-seven	frame-combined-short-zero-expected	replace	bytes	0	574c5051	584c5051
mutation-frame-combined-structural-context	frame-unknown-manifest	frame-combined-structural-context	logical-repack	selected.0.previous	-	-	-
mutation-frame-combined-version-source	frame-zero-source	frame-combined-version-source	replace	bytes	4	0100	0200
mutation-frame-combined-zero-asset-value	frame-zero-selected-asset	frame-combined-zero-asset-value	replace	bytes	220	0a00000000000000	0000000000000000
mutation-frame-combined-zero-txid-value	frame-zero-selected-txid	frame-combined-zero-txid-value	replace	bytes	220	0a00000000000000	0000000000000000
mutation-frame-concatenated	frame-test-toy-single	frame-concatenated	append	bytes	391	-	574c5051010098008701000000000000000000000000000041414141414141414141414141414141414141414141414141414141414141410700000000000000e4e7ec03e19ce5f83fd04c586788b724d88052b65ef2480cc93bcd50324f6b20499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c14010000000100000000000000000000000100000000000000313131313131313131313131313131313131313131313131313131313131313100000000499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c140a0000000000000001000000000000000000000001499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c1409000000000000006600000000000000746c713171717433746c657768387172746e33686a3036676d3075787375666371616a6361356a343733746c30387330716e657a7a6c3965676c356d723635757461676678676c6d70636336746d3461386a387438647067776a3977676a746e796673347836
mutation-frame-concatenated-rebound	frame-concatenated	frame-concatenated-rebound	replace	bytes	8	8701000000000000	0e03000000000000
mutation-frame-conservation-asset-mismatch	frame-test-public-valid	frame-conservation-asset-mismatch	logical-repack	destination.0.asset	-	-	-
mutation-frame-conservation-value-mismatch	frame-test-public-valid	frame-conservation-value-mismatch	logical-repack	destination.0.value	-	-	-
mutation-frame-declared-length-over	frame-test-toy-single	frame-declared-length-over	replace	bytes	8	8701000000000000	8801000000000000
mutation-frame-declared-length-under	frame-test-toy-single	frame-declared-length-under	replace	bytes	8	8701000000000000	8601000000000000
mutation-frame-descriptor-nonownership	frame-test-public-valid	frame-descriptor-nonownership	logical-repack	selected.0.candidate-and-txid	-	-	-
mutation-frame-destination-count-plus-one	frame-test-toy-single	frame-destination-count-plus-one	replace	bytes	132	01000000	00010000
mutation-frame-destination-count-zero	frame-test-toy-single	frame-destination-count-zero	replace	bytes	132	01000000	00000000
mutation-frame-destination-reserved	frame-test-toy-single	frame-destination-reserved	replace	bytes	285	00000000	01000000
mutation-frame-destination-value-plus-one	frame-test-toy-single	frame-destination-value-plus-one	replace	bytes	273	0900000000000000	0140075af0750700
mutation-frame-destination-value-zero	frame-test-toy-single	frame-destination-value-zero	replace	bytes	273	0900000000000000	0000000000000000
mutation-frame-duplicate-previous-identity	frame-test-public-valid	frame-duplicate-previous-identity	logical-repack	selected.0.previous	-	-	-
mutation-frame-extra-previous	frame-test-public-valid	frame-extra-previous	logical-repack	selected.0.previous	-	-	-
mutation-frame-fee-plus-one	frame-test-toy-single	frame-fee-plus-one	replace	bytes	144	0100000000000000	0140075af0750700
mutation-frame-fee-zero	frame-test-toy-single	frame-fee-zero	replace	bytes	144	0100000000000000	0000000000000000
mutation-frame-flags-nonzero	frame-test-toy-single	frame-flags-nonzero	replace	bytes	16	00000000	01000000
