source_model_id	partition	operation	execution_class	relative_path	decoded_length	decoded_sha256	expected_result	expected_error_code	precedence
model-boundary-address-bytes-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-address-bytes-maximum.json	148	ef4a7eaeb62e6bd681612d0143bdc592ec2ad45b7be5a611d346f1339486e419	ok	0	boundary-formula
model-boundary-address-bytes-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-address-bytes-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-address-bytes-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-address-bytes-plus-one.json	227	3e5f3044e9214eaf5bf248d47caadea2a4cb333ba55dd566edd5983e66783aac	error	4	boundary-formula
model-boundary-aggregate-in-range-overcount	boundary	decode	concrete-frame	source-models/model-boundary-aggregate-in-range-overcount.json	225	da2af5cf41ad329e6d0e441b77166b1ec4b4d7690d75655fdf4f06caa3e3f7e4	error	3	boundary-formula
model-boundary-aggregate-in-range-undercount	boundary	decode	concrete-frame	source-models/model-boundary-aggregate-in-range-undercount.json	146	7f2883ccdaedb0f1e5bdb1d2ff22db2c3b7f6390f567abd49442c41d4e3fb7f5	error	3	boundary-formula
model-boundary-aggregate-previous-entries-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-aggregate-previous-entries-maximum.json	150	affff74b34b8a0a733620de0483dd95f242dd6dca7fa8a642613c5c15be96368	ok	0	boundary-formula
model-boundary-aggregate-previous-entries-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-aggregate-previous-entries-minimum.json	146	ea6eb71e5ae6b8b362a8bff993b75b4e7ae48b846915a260ec5fc003a7b3cef6	ok	0	boundary-formula
model-boundary-aggregate-previous-entries-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-aggregate-previous-entries-plus-one.json	229	0f98787727fa22fd7732a3f6dc855b0106c96af6300a5d27e17f8c898b39aa35	error	4	boundary-formula
model-boundary-candidate-transaction-bytes-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-candidate-transaction-bytes-maximum.json	152	33783d6cc055116c2210f3ec6e7ded8b68e1585eca5ebf46ec5a48c6831415b0	ok	0	boundary-formula
model-boundary-candidate-transaction-bytes-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-candidate-transaction-bytes-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-candidate-transaction-bytes-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-candidate-transaction-bytes-plus-one.json	231	21cecd33376b2773433e1fd801b2a874faf6a4c602ae6f928e201b675b4c4401	error	4	boundary-formula
model-boundary-checked-add-overflow	boundary	checked-arithmetic	symbolic-only	source-models/model-boundary-checked-add-overflow.json	244	14747f1d50deae1cb1d2819cbb4541bce01b6cd8ce71ed1c21a480f28d97685d	overflow	4	boundary-formula
model-boundary-checked-multiply-overflow	boundary	checked-arithmetic	symbolic-only	source-models/model-boundary-checked-multiply-overflow.json	249	55a93e2bce12ac2804551504a8bd620f4d5fcd64bfe16bc2d54188aa9a92ff91	overflow	4	boundary-formula
model-boundary-destination-value-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-destination-value-maximum.json	161	0483ff6baf6621454fd7c066dd8d7b22b98bbb1fe3d237c1ecafb0a6d08a870a	ok	0	boundary-formula
model-boundary-destination-value-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-destination-value-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-destination-value-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-destination-value-plus-one.json	240	fe4b16b708b737fa15cb1ef438fd1778179b4df86b5c98eb48e588d369f71b65	error	4	boundary-formula
model-boundary-destinations-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-destinations-maximum.json	148	faeef27355cf08dfbecf24c59ef8f565c8be40fba8d3c4a67190ec68414cfb40	ok	0	boundary-formula
model-boundary-destinations-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-destinations-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-destinations-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-destinations-plus-one.json	227	fb899a7ff3145b50be55919ae3387d445ed7c636230ab3aab4a1fdf4fbc8943f	error	4	boundary-formula
model-boundary-expanded-transaction-bytes-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-expanded-transaction-bytes-maximum.json	153	5609980d97af808ab684882756ed559e2d51cbe9d586c3ff17153b3f8d034716	ok	0	boundary-formula
model-boundary-expanded-transaction-bytes-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-expanded-transaction-bytes-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-expanded-transaction-bytes-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-expanded-transaction-bytes-plus-one.json	232	c077039e916341884767436b6db8441ebd765e617d2877e3fa482c83a8d84cd0	error	4	boundary-formula
model-boundary-fee-value-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-fee-value-maximum.json	161	0483ff6baf6621454fd7c066dd8d7b22b98bbb1fe3d237c1ecafb0a6d08a870a	ok	0	boundary-formula
model-boundary-fee-value-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-fee-value-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-fee-value-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-fee-value-plus-one.json	240	fe4b16b708b737fa15cb1ef438fd1778179b4df86b5c98eb48e588d369f71b65	error	4	boundary-formula
model-boundary-outer-rejection-ceiling	boundary	outer-length	symbolic-only	source-models/model-boundary-outer-rejection-ceiling.json	158	207eb82ac4d41a0c8ea00dc9c780752654db88ac58e97cdd4605a8c2765211fc	ok	0	boundary-formula
model-boundary-outer-rejection-plus-one	boundary	outer-length	symbolic-only	source-models/model-boundary-outer-rejection-plus-one.json	237	0bf7e41cfbc731488a4480028d5363686ee67d559efc26d51ed997715de00e80	error	4	boundary-formula
model-boundary-output-index-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-output-index-maximum.json	155	fc1669cea3ed836cffa3a784f5e237805103076fb2ad344a156a5858549d4afa	ok	0	boundary-formula
