case_id	operation	fixture_recipe	expected_status	expected_error_code	expected_frame_id
api-candidate-rejected	request-encode	candidate-rejected-request	error	6	-
api-descriptor-rejected	request-encode	descriptor-rejected-request	error	5	-
api-empty-b-response	response-encode	empty-b-accepted-response-source	ok	0	response-01-base-empty-b
api-empty-request	request-encode	empty-accepted-request-source	ok	0	request-00-base-empty
api-empty-response	response-encode	empty-accepted-response-source	ok	0	response-00-base-empty-a
api-multi-asset-response	response-encode	multi-asset-accepted-response-source	ok	0	response-06-base-multi-asset
api-nonempty-request	request-encode	nonempty-accepted-request-source	ok	0	request-01-base-nonempty
api-one-output-response	response-encode	one-output-accepted-response-source	ok	0	response-03-base-one-output
api-orphan-output	response-source-validation	orphan-output-response-source	error	7	-
api-output-binding-mismatch	response-source-validation	output-binding-mismatch-response-source	error	7	-
api-output-order	response-source-validation	output-order-response-source	error	7	-
api-spend-only-response	response-encode	spend-only-accepted-response-source	ok	0	response-02-base-spend-only
api-three-input-response	response-encode	three-input-accepted-response-source	ok	0	response-05-base-three-inputs
api-two-output-response	response-encode	two-output-accepted-response-source	ok	0	response-04-base-two-outputs
api-zero-input-transaction	response-source-validation	zero-input-transaction-response-source	error	7	-
api-zero-source-request	request-encode	zero-source-request	error	1	-
api-zero-source-response-invalid	response-encode	zero-source-response-with-invalid-source	error	1	-
api-zero-transaction-id	response-source-validation	zero-transaction-id-response-source	error	7	-
