boundary_id	operation	boundary_kind	production_constant	numeric_domain	formula	expected_status	expected_value	expected_error_code
aggregate-inputs-maximum	response-decode	component-limit	max-aggregate-inputs	usize64	1636801	ok	1636801	0
aggregate-inputs-plus-one	response-decode	component-limit	max-aggregate-inputs	usize64	1636801+1	rejected	1636802	4
aggregate-owned-outputs-maximum	response-decode	component-limit	max-aggregate-owned-outputs	usize64	148470	ok	148470	0
aggregate-owned-outputs-plus-one	response-decode	component-limit	max-aggregate-owned-outputs	usize64	148470+1	rejected	148471	4
arithmetic-add-overflow	checked-arithmetic	arithmetic-rejection	none	u64	18446744073709551615+1	overflow	-	4
arithmetic-multiply-overflow	checked-arithmetic	arithmetic-rejection	none	u64	18446744073709551615*2	overflow	-	4
batch-bytes-maximum	request-decode	component-limit	max-batch-bytes	usize64	67108864	ok	67108864	0
batch-bytes-plus-one	request-decode	component-limit	max-batch-bytes	usize64	67108864+1	rejected	67108865	4
candidate-transactions-maximum	request-decode	component-limit	max-candidate-transactions	u32	4096	ok	4096	0
candidate-transactions-plus-one	request-decode	component-limit	max-candidate-transactions	u32	4096+1	rejected	4097	4
derivation-index-maximum	request-decode	component-limit	max-derivation-index	u32	100000	ok	100000	0
derivation-index-plus-one	request-decode	component-limit	max-derivation-index	u32	100000+1	rejected	100001	4
inputs-per-transaction-maximum	response-decode	component-limit	max-inputs-per-transaction	usize64	102298	ok	102298	0
inputs-per-transaction-plus-one	response-decode	component-limit	max-inputs-per-transaction	usize64	102298+1	rejected	102299	4
owned-output-value-maximum	response-decode	component-limit	max-owned-output-value	u64	9223372036854775807	ok	9223372036854775807	0
owned-output-value-plus-one	response-decode	component-limit	max-owned-output-value	u64	9223372036854775807+1	rejected	9223372036854775808	3
owned-outputs-per-transaction-maximum	response-decode	component-limit	max-owned-outputs-per-transaction	usize64	9279	ok	9279	0
owned-outputs-per-transaction-plus-one	response-decode	component-limit	max-owned-outputs-per-transaction	usize64	9279+1	rejected	9280	4
previous-transactions-maximum	request-decode	component-limit	max-previous-transactions-per-batch	u32	16384	ok	16384	0
previous-transactions-plus-one	request-decode	component-limit	max-previous-transactions-per-batch	u32	16384+1	rejected	16385	4
public-descriptor-bytes-maximum	request-decode	component-limit	max-public-descriptor-bytes	u32	16384	ok	16384	0
public-descriptor-bytes-plus-one	request-decode	component-limit	max-public-descriptor-bytes	u32	16384+1	rejected	16385	4
reachable-request-bytes	checked-arithmetic	reachable-maximum	max-reachable-request-bytes	usize64	76+16384+4096*12+16384*4+67108864	ok	67240012	0
reachable-response-bytes	checked-arithmetic	reachable-maximum	max-reachable-response-bytes	usize64	64+4096*72+1636801*36+148470*144	ok	80599492	0
request-outer-ceiling	request-outer-length-check	outer-ceiling	max-request-frame-bytes	usize64	268435456	ok	268435456	0
request-outer-plus-one	request-outer-length-check	outer-ceiling	max-request-frame-bytes	usize64	268435456+1	rejected	268435457	4
response-outer-ceiling	response-outer-length-check	outer-ceiling	max-response-frame-bytes	usize64	268435456	ok	268435456	0
response-outer-plus-one	response-outer-length-check	outer-ceiling	max-response-frame-bytes	usize64	268435456+1	rejected	268435457	4
spendable-output-index-maximum	response-decode	component-limit	max-spendable-output-index	u32	1073741823	ok	1073741823	0
spendable-output-index-plus-one	response-decode	component-limit	max-spendable-output-index	u32	1073741823+1	rejected	1073741824	3
transaction-bytes-maximum	request-decode	component-limit	max-transaction-bytes	u32	4194304	ok	4194304	0
transaction-bytes-plus-one	request-decode	component-limit	max-transaction-bytes	u32	4194304+1	rejected	4194305	4
