case_id	frame_id	operation	expected_source_epoch_hex	expected_status	expected_error_code	canonical_reencode
request-09-outer-length-mismatch-decode	request-09-body-truncated	request-decode	-	error	3	no
request-10-truncated-zero-decode	request-10-truncated-zero	request-decode	-	error	3	no
request-11-truncated-header-decode	request-11-truncated-header	request-decode	-	error	3	no
request-12-wrong-magic-decode	request-12-wrong-magic	request-decode	-	error	2	no
request-13-wrong-version-decode	request-13-wrong-version	request-decode	-	error	2	no
request-14-wrong-header-length-decode	request-14-wrong-header-length	request-decode	-	error	2	no
request-15-declared-length-mismatch-decode	request-15-declared-length-mismatch	request-decode	-	error	3	no
request-16-flags-nonzero-decode	request-16-flags-nonzero	request-decode	-	error	3	no
request-17-unknown-network-decode	request-17-unknown-network	request-decode	-	error	3	no
request-18-header-reserved-decode	request-18-header-reserved	request-decode	-	error	3	no
request-19-derivation-plus-one-decode	request-19-derivation-plus-one	request-decode	-	error	4	no
request-20-zero-source-decode	request-20-zero-source	request-decode	-	error	3	no
request-21-zero-descriptor-length-decode	request-21-zero-descriptor-length	request-decode	-	error	3	no
request-22-candidate-count-plus-one-decode	request-22-candidate-count-plus-one	request-decode	-	error	4	no
request-23-previous-count-plus-one-decode	request-23-previous-count-plus-one	request-decode	-	error	4	no
request-24-header-tail-reserved-decode	request-24-header-tail-reserved	request-decode	-	error	3	no
request-25-outer-length-mismatch-decode	request-25-trailing-byte	request-decode	-	error	3	no
request-25-trailing-byte-decode	request-25a-trailing-byte-canonical-length	request-decode	-	error	3	no
request-26-concatenated-decode	request-26a-concatenated-canonical-length	request-decode	-	error	3	no
request-26-outer-length-mismatch-decode	request-26-concatenated	request-decode	-	error	3	no
request-27-descriptor-whitespace-decode	request-27-descriptor-whitespace	request-decode	-	error	3	no
request-28-descriptor-checksum-uppercase-decode	request-28-descriptor-checksum-uppercase	request-decode	-	error	3	no
request-29-zero-candidate-length-decode	request-29-zero-candidate-length	request-decode	-	error	3	no
