frame_id	frame_kind	relative_path	decoded_length	decoded_sha256	parent_frame_id	mutation_kind	mutation_offset	old_hex	new_hex
request-00-base-empty	request	frames/request-00-base-empty.hex	232	ebdf2cc9fc516e9034d30faf5b8fe3e2d56957f5963d7776ddd6aa04c1003682	-	base	-	-	-
request-01-base-nonempty	request	frames/request-01-base-nonempty.hex	258	e0b42281f5f0ec6ae143edfdde336220e02d2105f7f92dbedd24b5477ef12876	-	base	-	-	-
request-02-base-semantic-reject	request	frames/request-02-base-semantic-reject.hex	94	8e716b85916c213015018e4e5b0845783959684448d0813269ebdbb65bb4d448	-	base	-	-	-
request-09-body-truncated	request	frames/request-09-body-truncated.hex	235	812ec2bd51c4d2b4bd710a5b5b1ac782efe491021f034079e750ae318707e803	request-01-base-nonempty	truncate	235	-	-
request-09a-body-truncated-canonical-length	request	frames/request-09a-body-truncated-canonical-length.hex	235	b8320da3af47b90c5b065eae52b5ebbf6a52bb82aeddf3800e59a45ac95cd82f	request-09-body-truncated	replace	8	0201000000000000	eb00000000000000
request-10-truncated-zero	request	frames/request-10-truncated-zero.hex	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	request-00-base-empty	truncate	0	-	-
request-11-truncated-header	request	frames/request-11-truncated-header.hex	4	d1418cc44269df826d99eb86a688f97dcad22df0c67b070ab90d4b5ce7608309	request-00-base-empty	truncate	4	-	-
request-12-wrong-magic	request	frames/request-12-wrong-magic.hex	232	5a72d7ee056208f824b1ea74b753fbdcc14fca4e44a1d6a2f1b3d80eeeef480f	request-00-base-empty	replace	0	57	58
request-13-wrong-version	request	frames/request-13-wrong-version.hex	232	a872629f53e0803a3bc0e1dffed9b10eba9ff78a9d3b2cb02d62f1c14322832e	request-00-base-empty	replace	4	0100	0200
request-14-wrong-header-length	request	frames/request-14-wrong-header-length.hex	232	2d1f107385651b6c517835d89fce26825562039b4eec9ac99dff2498891997a9	request-00-base-empty	replace	6	4c00	4b00
request-15-declared-length-mismatch	request	frames/request-15-declared-length-mismatch.hex	232	ee00e04079effff3400c435deaa0fa96fcf0dc1dc7e7be6ebfe1a15b7e65d993	request-00-base-empty	replace	8	e800000000000000	e900000000000000
request-16-flags-nonzero	request	frames/request-16-flags-nonzero.hex	232	c02fcc9b86d712c64a27cd2bb277f92cff9cf12398ac0a01edc4ff9e4b04cddc	request-00-base-empty	replace	16	00	01
