recipe_id	recipe_kind	source_epoch_hex	descriptor_network	last_derivation_index	public_descriptor_hex	candidates	transactions	outputs	expected_property
candidate-rejected-request	request	4141414141414141414141414141414141414141414141414141414141414141	test	0	656c77706b68285b32386233663134652f3834272f31272f30275d747075624443325134784b3458483732474d374d6f774e75616a795756626967524c42574b73777950355438386870507775356e47714a576e6461387a684a454674373161763733486d386d554d4d46537a3961634e567a7a38623155626453484344584b546253763565457974752f3c303b313e2f2a292375306b6863306b67	_:-	-	-	candidate-transaction-empty
descriptor-rejected-request	request	4141414141414141414141414141414141414141414141414141414141414141	test	0	656c77706b682878292375306b6863306b67	_:-	-	-	descriptor-semantic-and-candidate-empty
empty-accepted-request-source	request	4141414141414141414141414141414141414141414141414141414141414141	test	0	656c77706b68285b32386233663134652f3834272f31272f30275d747075624443325134784b3458483732474d374d6f774e75616a795756626967524c42574b73777950355438386870507775356e47714a576e6461387a684a454674373161763733486d386d554d4d46537a3961634e567a7a38623155626453484344584b546253763565457974752f3c303b313e2f2a292375306b6863306b67	-	-	-	accepted-empty-request
empty-accepted-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	-	-	accepted-empty-a-response
empty-b-accepted-response-source	response	4242424242424242424242424242424242424242424242424242424242424242	-	-	-	-	-	-	accepted-empty-b-response
multi-asset-accepted-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3333333333333333333333333333333333333333333333333333333333333333:1,3131313131313131313131313131313131313131313131313131313131313131:0;2222222222222222222222222222222222222222222222222222222222222222/5252525252525252525252525252525252525252525252525252525252525252/3333333333333333333333333333333333333333333333333333333333333333:1,3434343434343434343434343434343434343434343434343434343434343434:2	2121212121212121212121212121212121212121212121212121212121212121/3/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/external/0/7171717171717171717171717171717171717171717171717171717171717171/1/0014751e76e8199196d454941c45d1b3a323f1433bd6;2222222222222222222222222222222222222222222222222222222222222222/4/5252525252525252525252525252525252525252525252525252525252525252/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/internal/100000/7272727272727272727272727272727272727272727272727272727272727272/9223372036854775807/0014751e76e8199196d454941c45d1b3a323f1433bd6	accepted-multi-asset-response
nonempty-accepted-request-source	request	4141414141414141414141414141414141414141414141414141414141414141	test	0	656c77706b68285b32386233663134652f3834272f31272f30275d747075624443325134784b3458483732474d374d6f774e75616a795756626967524c42574b73777950355438386870507775356e47714a576e6461387a684a454674373161763733486d386d554d4d46537a3961634e567a7a38623155626453484344584b546253763565457974752f3c303b313e2f2a292375306b6863306b67	010203:04,0506	-	-	accepted-nonempty-request
one-output-accepted-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0	2121212121212121212121212121212121212121212121212121212121212121/3/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/external/0/7171717171717171717171717171717171717171717171717171717171717171/1/0014751e76e8199196d454941c45d1b3a323f1433bd6	accepted-one-output-response
orphan-output-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/3/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/external/0/7171717171717171717171717171717171717171717171717171717171717171/1/0014751e76e8199196d454941c45d1b3a323f1433bd6	output-orphan
output-binding-mismatch-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0	2121212121212121212121212121212121212121212121212121212121212121/3/5252525252525252525252525252525252525252525252525252525252525252/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/external/0/7171717171717171717171717171717171717171717171717171717171717171/1/0014751e76e8199196d454941c45d1b3a323f1433bd6	output-binding-mismatch
output-order-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0	2121212121212121212121212121212121212121212121212121212121212121/4/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/external/0/7171717171717171717171717171717171717171717171717171717171717171/1/0014751e76e8199196d454941c45d1b3a323f1433bd6;2121212121212121212121212121212121212121212121212121212121212121/3/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/internal/1/7272727272727272727272727272727272727272727272727272727272727272/2/0014751e76e8199196d454941c45d1b3a323f1433bd6	output-order
spend-only-accepted-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0	-	accepted-spend-only-response
three-input-accepted-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0,3232323232323232323232323232323232323232323232323232323232323232:1,3333333333333333333333333333333333333333333333333333333333333333:2	-	accepted-three-input-response
two-output-accepted-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0	2121212121212121212121212121212121212121212121212121212121212121/3/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/external/0/7171717171717171717171717171717171717171717171717171717171717171/1/0014751e76e8199196d454941c45d1b3a323f1433bd6;2121212121212121212121212121212121212121212121212121212121212121/4/5151515151515151515151515151515151515151515151515151515151515151/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/0279be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798/internal/1/7272727272727272727272727272727272727272727272727272727272727272/2/0014751e76e8199196d454941c45d1b3a323f1433bd6	accepted-two-output-response
zero-input-transaction-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/-	-	transaction-inputs-empty
zero-source-request	request	0000000000000000000000000000000000000000000000000000000000000000	test	0	656c77706b682878292375306b6863306b67	_:-	-	-	zero-epoch-and-combined-invalid-request
zero-source-response-with-invalid-source	response	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	2121212121212121212121212121212121212121212121212121212121212121/5151515151515151515151515151515151515151515151515151515151515151/-	-	zero-epoch-and-transaction-inputs-empty
zero-transaction-id-response-source	response	4141414141414141414141414141414141414141414141414141414141414141	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000/5151515151515151515151515151515151515151515151515151515151515151/3131313131313131313131313131313131313131313131313131313131313131:0	-	transaction-id-zero
